Name,Endereço,Petisco,Contato,Instagram,Descrição,Funcionamento
Birosca,"Rua Professora Dalva Menezes, 23 – Jardim Glória",Verdinho e Bochecha,(32) 98522-4254,bar_birosca,"Bochecha de porco marinada e cozida lentamente, servida ao próprio molho. Acompanha de farofa de flocos de milho e crispy de folha do brócolis, brócolis salteado e picles de cebola roxa.",Terça a Sexta – 16h à 23h | Sábado – 12h à 22h | Domingo – 12h às 21h
Budega do Papai,"Rua Paracatu, 349 – Santa Terezinha",Budega Raiz,(32) 99884-2970,budegadopapai,"Costelinha de porco marinada em temperos especiais, acompanhado de polenta cremosa com toque de mussarela e finalizado com couve refogada salteada com alho, trazendo um toque de frescor e um contraste de texturas que eleva o prato a uma experiencia única.",Terça a Sexta – 18h às 23h | Sábado – 12h às 23h | Domingo – 11h às 17h
Buteco do Príncipe,"Rua Sebastião Ferreira, 2 – São Pedro",Bolorócolis,(32) 99859-3057,butecodoprincipe,"Um bolinho dourado por fora e macio por dentro, feito com arroz cozido com brócolis levemente refogados, que conferem textura e frescor à massa. No recheio, lascas suculentas de linguado e pedaços delicados de camarão refogado no alho e azeite, aromatizado com salsinha e coentro. Acompanha molho da casa.",Segunda e Quarta a Sexta – 16h às 23h | Sábado – 12h às 23h
Butiquim da Fábrica,"Rua Luís de Camões, 74 – São Mateus",Pastel do Butiquim,(32) 99120-5990,@,Taioba refogada na manteiga com especiarias e requeijão catupiry (6 unidades).,Quarta a Sexta – 17h às 23h30 | Sábado – 12h às 23h30 | Domingo – 12h às 17h30
Caminho da Roça,"Rua Espírito Santo, 738 – Centro",Chinês Caipira,(32) 3211-3482,caminhodarocajf,Carne suína e vegetais refogados em temperos asiáticos.,Segunda a Sábado – 16h às 22h
Carlota Bar e Restaurante,"Rua Carlota Malta, 165 – Centro",Taioba Tá Dentro,(32) 3017-3078,sigacarlota,"Linguiças de pernil e bacon empanadas e recheadas com requeijão de taioba. Servido com porção de dadinhos de angu e acompanha vinagrete vermelho, feito com pimentão, pimenta dedo de moça, alho e manjericão.",Terça a Sexta – 17h às 22h | Sábado e Domingo – 11h às 22h
Casarão Bar,"Rua Cesário Alvim, 241 – São Bernardo",Quem Casa Quer Casarão,(32) 99111-7467,casaraobarjf,"Bolinho de cupim, recheado com taioba e bacon, acompanhado de vinagrete de abacaxi e maionese de alho-poró.",Quarta a Sexta – 18h às 23h | Sábado – 17h às 23h | Domingo – 15h às 21h
Coliseum Bar e Restaurante,"Rua Diogo Alvares, 488 – Benfica",Camarão Afogado,(32) 3223-0706,coliseumbar_,Caldo de couve-flor com camarão.,Segunda a Sexta – 17h à 23h30 | Sábado e Domingo – 11h à 23h30
Costelaria Compadre Grill,"Rua Artur Bernardes, 94 – Bandeirantes",Porogodó,(32) 99999-5245,compadregrillcostelaria,Pão de alho-poró recheado com costela ao bafo e coberto de mussarela gratinada.,Quarta a Sexta – 18h à 22h | Sábado – 12h à 23h | Domingo – 12h às 17h
Dirceu’s Pub,"Rua Dom Viçoso, 190 – Alto dos Passos",Canapé Mineiro,(32) 3321-5283,dirceuspub,"Canapé de polenta com ragu de linguiça, couve frita e finalizada com farofa de bacon.",Terça a Sexta – 17h às 00h30 | Sábado- 12h às 00h30 | Domingo – 12h às 15h
Don Juan Gastronomia,"Rua Eloy Américo Mendes, 195- Aeroporto",Panqueca de couve,(32) 98703-4549,donjuangastrobar,"Panqueca de couve recheada com filezinho suíno e requeijão tipo catupiry, acompanhada com polenta. Decorada com molho de tomate ao sugo, parmesão e crispi de talo de couve com alho.",Quarta a Sexta – 18h às 23h | Sábado – 11h às 23h
Empório do Sabor,"Rua Henrique De Novais, 166 – Lourdes",Herança do Interior,(32) 99914-7004,emporiodosaborjf,"Carne de panela, acompanhada de creme de macaxeira e farofa crocante com bacon e couve.",Terça a Sexta – 18h às 23h | Sábado – 14h às 23h
